Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
72,Armenia,"220,927",+67,"4,333",+10,"208,899",+445,"7,695",,"74,434","1,460","1,039,050","350,075","2,968,081",Asia,13,685,3,23,3,"2,593"
73,Venezuela,"215,301",,"2,396",,"199,202",,"13,703",316,"7,590",84,"3,359,014","118,419","28,365,471",South America,132,"11,839",8,,,483
74,Qatar,"213,183",,530,,"207,077",,"5,576",205,"75,925",189,"1,970,800","701,901","2,807,805",Asia,13,"5,298",1,,,"1,986"
75,Oman,"206,297",+786,"2,206",+13,"191,065",+723,"13,026",238,"39,527",423,"1,550,000","296,981","5,219,189",Asia,25,"2,366",3,151,2,"2,496"
76,Bosnia and Herzegovina,"202,490",+71,"9,051",+25,"169,455",+906,"23,984",,"62,057","2,774","945,559","289,786","3,262,955",Europe,16,361,3,22,8,"7,350"
77,Bahrain,"200,977",,746,,"183,859",,"16,372",160,"114,670",426,"4,353,926","2,484,178","1,752,663",Asia,9,"2,349",0,,,"9,341"
78,Libya,"181,410",,"3,088",,"168,128",,"10,194",,"26,092",444,"983,395","141,443","6,952,613",Africa,38,"2,251",7,,,"1,466"
79,Nigeria,"165,709",,"2,066",,"156,413",,"7,230",11,787,10,"1,977,479","9,391","210,568,792",Africa,"1,271","101,921",106,,,34
80,Kenya,"165,465",,"3,003",,"113,612",,"48,850",117,"3,019",55,"1,744,393","31,833","54,799,111",Africa,331,"18,248",31,,,891
81,North Macedonia,"154,698",,"5,211",,"145,851",,"3,636",111,"74,256","2,501","756,480","363,116","2,083,299",Europe,13,400,3,,,"1,745"
82,Myanmar,"143,065",,"3,212",,"132,115",,"7,738",,"2,614",59,"2,601,770","47,540","54,727,963",Asia,383,"17,039",21,,,141
83,Sri Lanka,"142,746",,962,,"118,322",,"23,462",,"6,642",45,"3,075,321","143,094","21,491,623",Asia,151,"22,341",7,,,"1,092"
84,S. Korea,"132,290",+619,"1,903",+3,"122,163",+399,"8,224",151,"2,578",37,"9,353,300","182,298","51,307,738",Asia,388,"26,962",5,12,0.06,160
85,Albania,"132,015",,"2,432",,"124,312",,"5,271",18,"45,917",846,"674,402","234,571","2,875,050",Europe,22,"1,182",4,,,"1,833"
