Number,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Total Cases Per 1m Pop,Deaths Per 1m Pop,Total Tests,Tests Per 1m Pop,Population
138,Gabon,"27,291",,174,,"26,027","1,090",25,"11,923",76,"1,143,075","499,382","2,288,979",Africa,84,"13,155",2,,,476
139,Togo,"24,226",+133,211,+2,"19,576","4,439",,"2,846",25,"493,471","57,971","8,512,393",Africa,351,"40,343",17,16,0.2,521
140,Benin,"21,450",,146,,"17,294","4,010",5,"1,715",12,"604,310","48,324","12,505,413",Africa,583,"85,654",21,,,321
141,Haiti,"21,318",,596,,"19,053","1,669",,"1,842",52,"114,661","9,910","11,570,269",North America,543,"19,413",101,,,144
142,Seychelles,"20,943",,114,,"20,245",584,,"211,370","1,151","21,504","217,032","99,082",Africa,5,869,5,,,"5,894"
143,Mayotte,"20,107",,176,,"2,964","16,967",,"71,621",627,"176,919","630,186","280,741",Africa,14,"1,595",2,,,"60,436"
144,Bahamas,"19,795",,469,,"17,492","1,834",15,"49,764","1,179","139,962","351,858","397,780",North America,20,848,3,,,"4,611"
145,Timor-Leste,"18,856",,102,,"16,103","2,651",,"13,981",76,"169,501","125,676","1,348,711",Asia,72,"13,223",8,,,"1,966"
146,Somalia,"18,820",,"1,041",,"9,138","8,641",,"1,146",63,"215,687","13,130","16,426,768",Africa,873,"15,780",76,,,526
147,Papua New Guinea,"18,542",,204,,"17,892",446,7,"2,026",22,"181,868","19,873","9,151,300",Australia/Oceania,494,"44,859",50,,,49
148,Belize,"18,334",,389,,"16,409","1,536",10,"45,121",957,"243,201","598,531","406,330",North America,22,"1,045",2,,,"3,780"
149,Laos,"18,059",,16,,"5,568","12,475",,"2,439",2,"441,125","59,588","7,402,912",Asia,410,"462,682",17,,,"1,685"
151,Taiwan,"16,123",+8,839,,"15,121",163,,675,35,"5,729,487","240,040","23,868,874",Asia,"1,480","28,449",4,0.3,,7
152,Curaçao,"15,925",,155,,"15,316",454,4,"96,571",940,"259,379","1,572,909","164,904",North America,10,"1,064",1,,,"2,753"
153,Aruba,"15,177",,156,,"14,715",306,14,"141,426","1,454","177,885","1,657,612","107,314",North America,7,688,1,,,"2,851"
154,Andorra,"15,113",,130,,"14,939",44,4,"195,223","1,679","193,595","2,500,775","77,414",Europe,5,595,0,,,568
155,Mali,"15,020",,545,,"14,203",272,,717,26,"404,159","19,289","20,952,571",Africa,"1,395","38,445",52,,,13
156,Lesotho,"14,395",,403,,"6,830","7,162",,"6,656",186,"146,630","67,798","2,162,756",Africa,150,"5,367",15,,,"3,312"
157,Burundi,"14,189",,38,,773,"13,378",,"1,152",3,"345,742","28,071","12,316,767",Africa,868,"324,125",36,,,"1,086"
158,Mauritius,"14,073",,48,,"1,854","12,171",,"11,044",38,"358,675","281,464","1,274,319",Africa,91,"26,548",4,,,"9,551"
159,Burkina Faso,"13,984",,172,,"13,670",142,,648,8,"214,358","9,927","21,593,041",Africa,"1,544","125,541",101,,,7
160,Congo,"13,701",,183,,"12,421","1,097",,"2,411",32,"188,207","33,126","5,681,620",Africa,415,"31,047",30,,,193
161,Nicaragua,"13,025",,202,,"4,225","8,598",,"1,938",30,,,"6,719,669",North America,516,"33,266",,,,"1,280"
162,Hong Kong,"12,150",,213,,"11,862",75,,"1,605",28,"24,014,928","3,172,203","7,570,426",Asia,623,"35,542",0,,,10
163,Djibouti,"11,960",,157,,"11,688",115,,"11,897",156,"213,490","212,358","1,005,331",Africa,84,"6,403",5,,,114
164,South Sudan,"11,790",,121,,"11,195",474,,"1,039",11,"219,648","19,349","11,352,106",Africa,963,"93,819",52,,,42
165,Iceland,"11,377",,33,,"10,995",349,6,"33,081",96,"1,024,988","2,980,327","343,918",Europe,30,"10,422",0,,,"1,015"
166,CAR,"11,309",,100,,"6,859","4,350",2,"2,293",20,"60,228","12,214","4,931,009",Africa,436,"49,310",82,,,882
167,Channel Islands,"11,223",,96,,"10,720",407,,"63,840",546,"872,039","4,960,460","175,798",Europe,16,"1,831",0,,,"2,315"
168,Equatorial Guinea,"11,063",,137,,"9,490","1,436",1,"7,586",94,"195,087","133,768","1,458,397",Africa,132,"10,645",7,,,985
169,Saint Lucia,"10,344",+127,148,+9,"7,790","2,406",4,"56,022",802,"75,886","410,992","184,641",North America,18,"1,248",2,688,49,"13,031"
170,Gambia,"9,867",,330,,"9,504",33,3,"3,949",132,"101,817","40,754","2,498,360",Africa,253,"7,571",25,,,13
171,Yemen,"8,557",,"1,619",,"5,325","1,613",23,279,53,"265,253","8,664","30,617,268",Asia,"3,578","18,911",115,,,53
172,Isle of Man,"7,094",,38,,"6,790",266,1,"82,896",444,"83,753","978,686","85,577",Europe,12,"2,252",1,,,"3,108"
173,Eritrea,"6,667",,40,,"6,617",10,,"1,849",11,"23,693","6,571","3,605,635",Africa,541,"90,141",152,,,3
